**********************
Windows PowerShell transcript start
Start time: 20190309103618
Username: PC_NTMS20\Administrator
RunAs User: PC_NTMS20\Administrator
Machine: PC_NTMS20 (Microsoft Windows NT 6.2.9200.0)
Host Application: C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe
Process ID: 3400
**********************
Transcript started, output file is C:\Users\Administrator\Documents\PowerShell_transcript.PC_NTMS20.SgcNLS+U.201903091036
18.txt

PS C:\Windows\System32> Get-Service

Status   Name               DisplayName
Running  PlugPlay           Plug and Play
Stopped  PNRPAutoReg        PNRP Machine Name Publication Service
Stopped  PNRPsvc            Peer Name Resolution Protocol
Running  PolicyAgent        IPsec Policy Agent
Running  Power              Power
Stopped  PrintNotify        Printer Extensions and Notifications
Running  ProfSvc            User Profile Service
Stopped  QWAVE              Quality Windows Audio Video Experience
Stopped  RasAuto            Remote Access Auto Connection Manager
Stopped  RasMan             Remote Access Connection Manager
Stopped  RemoteAccess       Routing and Remote Access
Stopped  RemoteRegistry     Remote Registry
Running  RpcEptMapper       RPC Endpoint Mapper
Stopped  RpcLocator         Remote Procedure Call (RPC) Locator
Running  RpcSs              Remote Procedure Call (RPC)
Running  SamSs              Security Accounts Manager
Stopped  SCardSvr           Smart Card
Stopped  ScDeviceEnum       Smart Card Device Enumeration Service
Running  Schedule           Task Scheduler
Stopped  SCPolicySvc        Smart Card Removal Policy
Stopped  seclogon           Secondary Log-on
Running  SENS               System Event Notification Service
Stopped  SensrSvc           Sensor Monitoring Service
Running  SessionEnv         Remote Desktop Configuration
Stopped  SharedAccess       Internet Connection Sharing (ICS)
Running  ShellHWDetection   Shell Hardware Detection
Stopped  smphost            Microsoft Storage Spaces SMP
Stopped  SNMPTRAP           SNMP Trap
Running  Spooler            Print Spooler
Running  sppsvc             Software Protection
Running  SSDPSRV            SSDP Discovery
Stopped  SstpSvc            Secure Socket Tunneling Protocol Se...
Running  stisvc             Windows Image Acquisition (WIA)
Stopped  StorSvc            Storage Service
Stopped  svsvc              Spot Verifier
Stopped  swprv              Microsoft Software Shadow Copy Prov...
Running  SysMain            Superfetch
Running  SystemEventsBroker System Events Broker
Stopped  TabletInputService Touch Keyboard and Handwriting Pane...
Stopped  TapiSrv            Telephony
Running  TeamViewer         TeamViewer 12
Running  TermService        Remote Desktop Services
Running  Themes             Themes
Stopped  THREADORDER        Thread Ordering Server
Running  TimeBroker         Time Broker
Running  TrkWks             Distributed Link Tracking Client
Stopped  TrustedInstaller   Windows Modules Installer
Stopped  UI0Detect          Interactive Services Detection
Running  UmRdpService       Remote Desktop Services UserMode Po...
Stopped  upnphost           UPnP Device Host
Stopped  VaultSvc           Credential Manager
Stopped  vds                Virtual Disk
Running  VMAuthdService     VMware Authorization Service
Stopped  vmicguestinterface Hyper-V Guest Service Interface
Stopped  vmicheartbeat      Hyper-V Heartbeat Service
Stopped  vmickvpexchange    Hyper-V Data Exchange Service
Stopped  vmicrdv            Hyper-V Remote Desktop Virtualizati...
Stopped  vmicshutdown       Hyper-V Guest Shutdown Service
Stopped  vmictimesync       Hyper-V Time Synchronization Service
Stopped  vmicvss            Hyper-V Volume Shadow Copy Requestor
Stopped  VMnetDHCP          VMware DHCP Service
Running  VMUSBArbService    VMware USB Arbitration Service
Running  VMware NAT Service VMware NAT Service
Running  vmware-converte... VMware vCenter Converter Standalone...
Running  vmware-converte... VMware vCenter Converter Standalone...
Running  vmware-converte... VMware vCenter Converter Standalone...
Running  VMwareHostd        VMware Workstation Server
Stopped  VSS                Volume Shadow Copy
Stopped  W32Time            Windows Time
Stopped  wbengine           Block Level Backup Engine Service
Stopped  WbioSrvc           Windows Biometric Service
Running  Wcmsvc             Windows Connection Manager
Running  wcncsvc            Windows Connect Now - Config Registrar
Stopped  WcsPlugInService   Windows Colour System
Running  WdiServiceHost     Diagnostic Service Host
Running  WdiSystemHost      Diagnostic System Host
Running  WdNisSvc           Windows Defender Network Inspection...
Stopped  WebClient          WebClient
Stopped  Wecsvc             Windows Event Collector
Stopped  WEPHOSTSVC         Windows Encryption Provider Host Se...
Stopped  wercplsupport      Problem Reports and Solutions Contr...
Stopped  WerSvc             Windows Error Reporting Service
Stopped  WiaRpc             Still Image Acquisition Events
Running  WinDefend          Windows Defender Service
Running  WinHttpAutoProx... WinHTTP Web Proxy Auto-Discovery Se...
Running  Winmgmt            Windows Management Instrumentation
Running  WinRM              Windows Remote Management (WS-Manag...
Stopped  WlanSvc            WLAN AutoConfig
Stopped  wlidsvc            Microsoft Account Sign-in Assistant
Stopped  wmiApSrv           WMI Performance Adapter
Stopped  WMPNetworkSvc      Windows Media Player Network Sharin...
Stopped  workfolderssvc     Work Folders
Stopped  WPCSvc             Family Safety
Stopped  WPDBusEnum         Portable Device Enumerator Service
Running  wscsvc             Security Center
Running  WSearch            Windows Search
Stopped  WSService          Windows Store Service (WSService)
Running  wuauserv           Windows Update
Running  wudfsvc            Windows Driver Foundation - User-mo...
Stopped  WwanSvc            WWAN AutoConfig



PS C:\Windows\System32> Get-Process

Handles  NPM(K)    PM(K)      WS(K) VM(M)   CPU(s)     Id ProcessName
-------  ------    -----      ----- -----   ------     -- -----------
    221      20    15012      18944   116   197.20   1272 AnyDesk
    179      15    12668      18228    97     0.22   2388 AnyDesk
    350      14     1976       4392    46     1.67    416 csrss
    174      15     2012      20708    58     1.41   2904 csrss
    253      13     7940      16228    85    34.58   1376 dasHost
    219      26    61544      97496   182     0.50   3404 dwm
   1386      71    59420     120664   566     3.06   3372 explorer
    123       8     1388       1032    47     0.05   2544 GoogleCrashHandler
    108       7     1304        744    52     0.00   2560 GoogleCrashHandler64
    126      10     1460       5860    59     0.00   3032 GoogleUpdate
      0       0        0          4     0               0 Idle
    179      11     2100       6744    49     0.03    940 igfxCUIService
    915      19     6012      13752    39    28.61    524 lsass
   1089      56   229396     194160   549   138.92   1844 MsMpEng
    262      12    10676       2068    50    46.70   3384 NisSrv
    551      67   143164     183256   873    17.42   3400 powershell_ise
    174      26    25256      17208   512     0.08   3224 PresentationFontCache
    116       8     1660       5376    36     0.03   4320 SearchFilterHost
    680      51    27744      27836   518    10.80   3144 SearchIndexer
    313      11     1880       7768    65     0.02    540 SearchProtocolHost
    259      11     4284       8064    32    12.77    516 services
     44       2      280       1000     4     0.50    312 smss
    357      19     3528       9452    46     1.67   1124 spoolsv
    127       9     1828       6244    54     0.38   3868 SppExtComObj
    202       9     5456      14780    47    13.00   3084 sppsvc
   1049      49    13916      24620  1401   163.38    512 svchost
    468      15     6336      13188    47   287.48    636 svchost
    437      16     4864       8772    36    29.70    684 svchost
    781      29    25224      32628   102    46.06    804 svchost
   2042      86    38676      55032   588    90.98    836 svchost
    601      31    11980      21444   140     7.56    880 svchost
    550      27    12548      22128   106   453.88    980 svchost
    514      39    14192      21824   100    17.36   1148 svchost
    392      17     5612      14748   108     0.67   1324 svchost
    148      10     2152       6756    38     2.45   1408 svchost
    514      31     6664      15240    85    41.20   3332 svchost
    105      10     1392       4860    21     0.64   3488 svchost
   1246       0      108       1476     5 1,620.98      4 System
    110       9     1320       4688    30     0.00   1600 taskeng
    469      27    18316      27316  1693    13.48   2456 taskhost
    238      26     4608      10412   490     0.03   2024 taskhostex
    409      58     4884      14928    88     1.09   1548 TeamViewer_Service
     95      10     1600       4972    46     0.30   1676 vmnat
    262      16     3604       8804    83    85.42   1900 vmware-authd
    324      25    24368      37888   157     0.45   1772 vmware-converter
    268      22    17732      31248   184     0.19   1808 vmware-converter
    279      24    17240      29844   160     0.27   1704 vmware-converter-a
    375      38    26032      44468   160     5.09   2312 vmware-hostd
     87      10     1344       5604    75     0.00   1420 vmware-tray
    163      11     2244       7240    64     0.31   1368 vmware-usbarbitrator64
     88       8     1068       4424    41     0.09    468 wininit
    148       7     1344       5284    49     0.17   4552 winlogon
    120       8     1712       5744    31     0.05   2948 WmiPrvSE



PS C:\Windows\System32> Get-ChildItem


    Directory: C:\Windows\System32


Mode                LastWriteTime     Length Name
----                -------------     ------ ----
d----         9/30/2013   9:26 AM            0409
d----          6/9/2018   8:51 AM            AdvancedInstallers
d----         8/22/2013   9:06 PM            AppLocker
d----          6/9/2018   8:53 AM            appraiser
d----         5/20/2018  10:06 PM            ar-SA
d----         5/20/2018  10:06 PM            bg-BG
d----         6/17/2018  12:40 PM            Boot
d----         8/22/2013   9:06 PM            Bthprops
d----         3/25/2018   9:23 PM            catroot
d----         6/16/2018   2:02 PM            catroot2
d----         6/17/2018  12:40 PM            CodeIntegrity
d----         6/17/2018  12:41 PM            Com
d---s          6/9/2018   8:53 AM            CompatTel
d----          3/2/2019   1:52 PM            config
d---s         1/12/2019   2:57 PM            Configuration
d----         5/20/2018  10:06 PM            cs-CZ
d----         5/20/2018  10:06 PM            da-DK
d----         5/20/2018  10:06 PM            de-DE
d----         6/17/2018  12:41 PM            Dism
d----         8/22/2013   7:06 PM            downlevel
d----         6/23/2018   4:14 PM            drivers
d----         6/23/2018   4:14 PM            DriverStore
d----          9/1/2017   8:37 PM            DRVSTORE
d---s         6/17/2018  12:41 PM            dsc
d----         5/20/2018  10:06 PM            el-GR
d----         9/30/2013   9:26 AM            en
d----         6/23/2018   4:14 PM            en-GB
d----         6/23/2018   4:14 PM            en-US
d----         5/20/2018  10:06 PM            es-ES
d----         5/20/2018  10:06 PM            et-EE
d----         5/20/2018  10:06 PM            fi-FI
d----         5/20/2018  10:06 PM            fr-FR
d----         8/22/2013   8:19 PM            FxsTmp
d----         8/22/2013   9:06 PM            GroupPolicyUsers
d----         5/20/2018  10:06 PM            he-IL
d----         5/20/2018  10:06 PM            hr-HR
d----         5/20/2018  10:06 PM            hu-HU
d----         8/22/2013   9:06 PM            ias
d----         8/22/2013   9:06 PM            icsxml
d----         8/22/2013   9:06 PM            IME
d----         8/22/2013   9:06 PM            inetsrv
d----         8/22/2013   9:06 PM            InputMethod
d----         8/22/2013   9:06 PM            Ipmi
d----         5/20/2018  10:06 PM            it-IT
d----         5/20/2018  10:06 PM            ja-JP
d----         5/20/2018  10:06 PM            ko-KR
d----         8/22/2013   9:06 PM            Licenses
d----         12/8/2018   2:19 PM            LogFiles
d----         5/20/2018  10:06 PM            lt-LT
d----         5/20/2018  10:06 PM            lv-LV
d----         8/22/2013   9:06 PM            Macromed
d---s         9/30/2013   9:44 AM            Microsoft
d----         6/17/2018  12:41 PM            migration
d----         6/17/2018  12:41 PM            migwiz
d----         6/23/2018   8:42 AM            MRT
d----         8/22/2013   9:06 PM            MSDRM
d----         8/22/2013   9:06 PM            MsDtc
d----         9/30/2013   9:26 AM            MUI
d----         5/20/2018  10:06 PM            nb-NO
d----          8/5/2017   1:48 PM            NDF
d----         8/22/2013   9:06 PM            networklist
d----         5/20/2018  10:06 PM            nl-NL
d----         6/17/2018  12:41 PM            oobe
d----         5/20/2018  10:06 PM            pl-PL
d----         9/30/2013   9:26 AM            Printing_Admin_Scripts
d----         8/22/2013   9:06 PM            ProximityToast
d----         5/20/2018  10:06 PM            pt-BR
d----         5/20/2018  10:06 PM            pt-PT
d----         8/22/2013   9:06 PM            ras
d----         8/22/2013   9:06 PM            RasToast
d----         7/15/2017   3:05 PM            Recovery
d----         7/15/2017   3:15 PM            restore
d----         5/20/2018  10:06 PM            ro-RO
d----         5/20/2018  10:06 PM            ru-RU
d----         6/17/2018  12:41 PM            SecureBootUpdates
d----         6/17/2018  12:41 PM            setup
d----         5/20/2018  10:06 PM            sk-SK
d----         5/20/2018  10:06 PM            sl-SI
d----         9/30/2013   9:26 AM            slmgr
d----         8/22/2013   7:06 PM            SMI
d----         8/22/2013   9:06 PM            Speech
d----         8/22/2013   8:19 PM            spool
d----         8/22/2013   9:06 PM            spp
d----         6/17/2018  12:41 PM            sppui
d----         6/23/2018   4:13 PM            sr-Latn-CS
d----         6/23/2018   4:13 PM            sr-Latn-RS
d----          3/9/2019  10:27 AM            sru
d----         5/20/2018  10:06 PM            sv-SE
d----         6/17/2018  12:41 PM            Sysprep
d----         6/17/2018  12:41 PM            SystemResetPlatform
d----         6/23/2018   8:50 AM            Tasks
d----         5/20/2018  10:06 PM            th-TH
d----         5/20/2018  10:06 PM            tr-TR
d----         5/20/2018  10:06 PM            uk-UA
d----         6/17/2018  12:41 PM            wbem
d----         9/30/2013   9:26 AM            WCN
d----         10/8/2017   4:23 AM            wdi
d----         8/22/2013   8:15 PM            wfp
d----         8/22/2013   9:06 PM            WinBioDatabase
d----         6/17/2018  12:41 PM            WinBioPlugIns
d----         8/22/2013   9:06 PM            WindowsInternal.Inbox.Media.Shared
d----         8/22/2013   9:06 PM            WindowsInternal.Inbox.Shared
d----         8/22/2013   9:06 PM            WindowsPowerShell
d----         8/22/2013   9:06 PM            winevt
d----         8/22/2013   9:06 PM            WinMetadata
d----         9/30/2013   9:26 AM            winrm
d----         5/20/2018  10:06 PM            zh-CN
d----         5/20/2018  10:06 PM            zh-HK
d----         5/20/2018  10:06 PM            zh-TW
-a---         6/18/2013   8:18 PM        160 @OpenWithToastLogo.png
-a---         6/18/2013   8:34 PM        120 @TileEmpty1x1Image.png
-a---        10/29/2014   7:30 AM    3814400 accessibilitycpl.dll
-a---         8/22/2013   5:15 PM      39424 ACCTRES.dll
-a---        10/29/2014   8:13 AM      10240 acledit.dll
-a---        10/29/2014   7:27 AM    1038336 aclui.dll
-a---         3/14/2018   6:53 PM     291840 acmigration.dll
-a---        10/29/2014   7:38 AM      55808 acppage.dll
-a---        10/29/2014   8:06 AM      12288 acproxy.dll
-a---        10/29/2014   7:28 AM     894976 ActionCenter.dll
-a---        10/29/2014   7:34 AM     546304 ActionCenterCPL.dll
-a---         10/9/2016   7:47 PM     229888 ActionQueue.dll
-a---        10/29/2014   6:26 AM     278528 activeds.dll
-a---         8/22/2013   5:15 PM     111616 activeds.tlb
-a---          1/2/2018   9:53 AM    2882048 actxprxy.dll
-a---        10/29/2014   6:57 AM      23040 adhapi.dll
-a---          2/4/2016  10:09 PM      77824 adhsvc.dll
-a---        10/29/2014   7:34 AM     582656 AdmTmpl.dll
-a---        10/29/2014   7:53 AM      58368 adprovider.dll
-a---        10/29/2014   6:25 AM     136192 adrclient.dll
-a---        10/29/2014   8:05 AM     274432 adsldp.dll
-a---        10/29/2014   8:11 AM     251392 adsldpc.dll
-a---         9/17/2016  11:46 PM     103424 adsmsext.dll
-a---        10/29/2014   7:57 AM     354816 adsnt.dll
-a---         1/22/2017  12:57 AM     756736 adtschema.dll
-a---          1/2/2018  12:07 PM     685440 advapi32.dll
-a---         8/22/2013   5:14 PM       2048 advapi32res.dll
-a---        10/29/2014   7:52 AM     142848 advpack.dll
-a---        10/29/2014   7:47 AM      42496 aecache.dll
-a---         8/22/2013   5:14 PM      29184 aeevts.dll
-a---         3/14/2018   6:53 PM     656384 aeinv.dll
-a---        10/29/2014   8:12 AM     214528 aelupsvc.dll
-a---         3/14/2018   6:53 PM     237056 aepic.dll
-a---        10/29/2014   6:26 AM      65024 AepRoam.dll
-a---        10/29/2014   7:22 AM     157184 aitagent.exe
-a---         3/14/2018   6:53 PM    1993728 aitstatic.exe
-a---        10/29/2014   6:51 AM      96768 alg.exe
-a---        10/29/2014   6:23 AM     118272 AltTab.dll
-a---         8/22/2013  12:24 PM      18432 amcompat.tlb
-a---        10/29/2014   8:02 AM     100352 amstream.dll
-a---        10/29/2014   7:11 AM     267264 apds.dll
-a---         8/22/2015   7:05 PM      12640 api-ms-win-crt-conio-l1-1-0.dll
-a---         8/22/2015   7:05 PM      15712 api-ms-win-crt-convert-l1-1-0.dll
-a---         8/22/2015   7:05 PM      12128 api-ms-win-crt-environment-l1-1-0.dll
-a---         8/22/2015   7:05 PM      13664 api-ms-win-crt-filesystem-l1-1-0.dll
-a---         8/22/2015   7:05 PM      12640 api-ms-win-crt-heap-l1-1-0.dll
-a---         8/22/2015   7:05 PM      12128 api-ms-win-crt-locale-l1-1-0.dll
-a---         8/22/2015   7:05 PM      20832 api-ms-win-crt-math-l1-1-0.dll
-a---         8/22/2015   7:05 PM      19808 api-ms-win-crt-multibyte-l1-1-0.dll
-a---         8/22/2015   7:05 PM      63840 api-ms-win-crt-private-l1-1-0.dll
-a---         8/22/2015   7:05 PM      12640 api-ms-win-crt-process-l1-1-0.dll
-a---         8/22/2015   7:05 PM      16224 api-ms-win-crt-runtime-l1-1-0.dll
-a---         8/22/2015   7:05 PM      17760 api-ms-win-crt-stdio-l1-1-0.dll
-a---         8/22/2015   7:05 PM      17760 api-ms-win-crt-string-l1-1-0.dll
-a---         8/22/2015   7:05 PM      14176 api-ms-win-crt-time-l1-1-0.dll
-a---         8/22/2015   7:05 PM      12128 api-ms-win-crt-utility-l1-1-0.dll
-a---        10/10/2016  11:48 PM      69976 apisetschema.dll
-a---          6/9/2017   7:17 PM     448629 ApnDatabase.xml
-a---          5/7/2015  10:17 PM     564224 apphelp.dll
-a---        10/29/2014   8:03 AM      34304 Apphlpdm.dll
-a---         7/13/2017   1:59 AM      75440 appidapi.dll
-a---          7/9/2017  12:33 AM      17920 appidcertstorecheck.exe
-a---          7/9/2017  12:13 AM     197632 appidpolicyconverter.exe
-a---        10/29/2014   7:39 AM     302592 AppIdPolicyEngineApi.dll
-a---          7/9/2017  12:00 AM      39936 appidsvc.dll
-a---          1/2/2018  11:07 AM     110080 appinfo.dll
-a---        10/29/2014   8:00 AM     187904 appmgmts.dll
-a---        10/29/2014   7:11 AM     459264 appmgr.dll
-a---         3/14/2018   6:53 PM    1559552 appraiser.dll
-a---        10/29/2014   6:18 AM     562688 AppReadiness.dll
-a---        10/29/2014   7:28 AM     163328 apprepapi.dll
-a---        10/29/2014   7:17 AM     169984 apprepsync.dll
-a---        10/29/2014   6:56 AM      34816 appsruprov.dll
-a---        10/29/2014   7:19 AM     771584 appwiz.cpl
-a---         11/8/2014   8:08 AM     166912 AppxAllUserStore.dll
-a---        10/29/2014   6:50 AM     524800 AppxApplicabilityEngine.dll
-a---        10/29/2014   6:47 AM     268800 AppXDeploymentClient.dll
-a---          2/8/2016  10:14 PM     955392 AppXDeploymentExtensions.dll
-a---          2/8/2016  10:23 PM    1348096 AppXDeploymentServer.dll
-a---        10/29/2014   6:21 AM     569856 AppxPackaging.dll
-a---         6/18/2013   8:15 PM        630 AppxProvisioning.xml
-a---        10/29/2014   6:51 AM     119808 AppxSip.dll
-a---        10/29/2014   6:53 AM      12800 AppxStreamingDataSourcePS.dll
-a---        10/29/2014   6:30 AM      55296 AppxSysprep.dll
-a---        10/29/2014   6:57 AM      25088 ARP.EXE
-a---         8/22/2013   5:15 PM       2048 asferror.dll
-a---         10/4/2017   9:15 AM      30888 aspnet_counters.dll
-a---          3/5/2017  12:36 AM      91648 asycfilt.dll
-a---        10/29/2014   8:04 AM      29184 at.exe
-a---        10/29/2014   7:53 AM      53760 AtBroker.exe
-a---        10/29/2014   8:03 AM     108544 atl.dll
-a---        10/29/2014   6:58 AM      48128 atlthunk.dll
-a---        12/15/2017   4:56 AM     374096 atmfd.dll
-a---        12/14/2017   3:47 PM      44032 atmlib.dll
-a---        10/29/2014   6:58 AM      20480 attrib.exe
-a---        10/29/2014   9:22 AM     272248 audiodg.exe
-a---         5/31/2015   1:06 AM     230400 AudioEndpointBuilder.dll
-a---        10/29/2014   9:22 AM     482872 AudioEng.dll
-a---        10/29/2014   9:22 AM     394120 AUDIOKSE.dll
-a---        10/29/2014   9:22 AM     500016 AudioSes.dll
-a---         5/31/2015   1:05 AM     911360 audiosrv.dll
-a---        10/29/2014   7:49 AM     207872 auditcse.dll
-a---        10/29/2014   7:48 AM     223232 AuditNativeSnapIn.dll
-a---        10/29/2014   6:57 AM      65024 auditpol.exe
-a---        10/29/2014   8:00 AM      73728 AuditPolicyGPInterop.dll
-a---         1/22/2017  12:57 AM      95232 auditpolmsg.dll
-a---        10/29/2014   6:10 AM     133120 AuthBroker.dll
-a---        10/29/2014   7:21 AM      36864 AuthExt.dll
-a---        10/29/2014   6:46 AM     497664 authfwcfg.dll
-a---        10/29/2014   7:48 AM     307200 AuthFWGP.dll
-a---        10/29/2014   9:24 AM    5120000 AuthFWSnapin.dll
-a---        10/29/2014   9:24 AM     114176 AuthFWWizFwk.dll
-a---         8/29/2015   3:50 AM     183368 AuthHost.exe
-a---        10/29/2014   6:51 AM      19456 AuthHostProxy.dll
-a---          2/8/2018  11:07 PM    2779648 authui.dll
-a---         8/11/2017   7:46 AM     275968 authz.dll
-a---         2/22/2014   5:47 PM     890880 autochk.exe
-a---          6/7/2017   2:12 AM     925696 autoconv.exe
-a---         2/22/2014   5:47 PM     874496 autofmt.exe
-a---        10/29/2014   7:36 AM     152064 autoplay.dll
-a---         8/22/2013  10:53 AM      45056 AutoWorkplace.exe
-a---         8/22/2013   9:05 PM        389 AutoWorkplace.exe.config
-a---        10/29/2014   8:15 AM       9216 AutoWorkplaceN.dll
-a---        10/29/2014   8:07 AM      78336 avicap32.dll
-a---        10/29/2014   8:02 AM     116736 avifil32.dll
-a---        10/29/2014   9:27 AM      35664 avrt.dll
-a---        10/29/2014   7:13 AM     111104 AxInstSv.dll
-a---        10/29/2014   7:15 AM      59904 AxInstUI.exe
-a---         6/18/2013   8:17 PM      41587 azman.msc
-a---        10/29/2014   7:38 AM     920064 azroles.dll
-a---        10/29/2014   7:31 AM     453632 azroleui.dll
-a---        10/29/2014   8:06 AM      32256 AzSqlExt.dll
-a---        10/29/2014   7:54 AM     112128 baaupdate.exe
-a---        10/29/2014   6:58 AM      10240 backgroundTaskHost.exe
-a---        10/29/2014   6:51 AM      32256 BackgroundTransferHost.exe
-a---          3/8/2018   5:16 AM     202576 basecsp.dll
-a---          3/3/2016   9:43 PM      59392 basesrv.dll
-a---        10/29/2014   8:14 AM    2022912 batmeter.dll
-a---        10/29/2014   9:23 AM      95048 bcd.dll
-a---        10/29/2014   8:04 AM     165376 bcdboot.exe
-a---        10/29/2014   8:12 AM     349184 bcdedit.exe
-a---        10/29/2014   6:51 AM      82944 bcdprov.dll
-a---        10/29/2014   6:51 AM      87552 bcdsrv.dll
-a---        10/29/2014   6:57 AM     397312 BCP47Langs.dll
-a---        11/20/2016   2:54 AM     152856 bcrypt.dll
-a---          1/2/2018   1:26 PM     397224 bcryptprimitives.dll
-a---        10/29/2014   7:54 AM     104960 bdaplgin.ax
-a---        10/29/2014   7:27 AM     354304 bdechangepin.exe
-a---          4/2/2016   7:39 PM     130560 BdeHdCfg.exe
-a---          4/2/2016   7:28 PM     108032 BdeHdCfgLib.dll
-a---        10/29/2014   8:14 AM      46080 bderepair.dll
-a---          4/1/2016  10:23 PM     348672 bdesvc.dll
-a---        10/29/2014   6:56 AM      10752 BdeSysprep.dll
-a---        10/29/2014   8:00 AM      33792 bdeui.dll
-a---        10/29/2014   7:43 AM      54272 BdeUISrv.exe
-a---        10/29/2014   9:39 AM     294880 bdeunlock.exe
-a---          1/2/2018  10:03 AM     845312 BFE.DLL
-a---        10/29/2014   8:18 AM      24064 bi.dll
-a---        10/29/2014   7:55 AM      47616 bidispl.dll
-a---        10/29/2014   6:24 AM     325120 BioCredProv.dll
-a---        10/29/2014   6:42 AM     270336 bisrv.dll
-a---        10/29/2014   6:56 AM     103424 BitLockerDeviceEncryption.exe
-a---        10/29/2014   7:53 AM     101888 BitLockerWizard.exe
-a---        10/29/2014   7:53 AM     101888 BitLockerWizardElev.exe
-a---        10/29/2014   7:48 AM     229376 bitsadmin.exe
-a---        10/29/2014   8:04 AM      54272 bitsigd.dll
-a---        10/29/2014   6:58 AM      24576 bitsperf.dll
-a---        10/29/2014   8:06 AM      14336 bitsprx2.dll
